key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
044008,Schmargendorf,Charlottenburg-Wilmersdorf,2013,7315,69,28,453,78,228,4462,162,1278,572,519,16,6,716,122,34,1637
045009,Halensee,Charlottenburg-Wilmersdorf,2013,14669,133,51,962,207,461,6866,371,1431,1087,551,55,27,1267,469,344,2878
045010,Lietzenburger Strasse,Charlottenburg-Wilmersdorf,2013,29801,342,124,2642,926,658,14754,309,1685,970,705,39,5,1485,386,544,5229
045011,Volkspark Wilmersdorf,Charlottenburg-Wilmersdorf,2013,10610,151,56,719,199,302,5431,145,1186,1054,354,52,24,927,199,121,2162
050000,Spandau,Spandau-Total,2013,12527,131,62,1255,294,480,5224,135,735,429,266,78,20,1301,214,235,3281
051001,Hakenfelde,Spandau,2013,8460,61,35,732,175,320,4197,88,706,241,224,88,26,864,79,154,3000
051002,Falkenhagener Feld,Spandau,2013,7336,127,48,1072,201,358,2838,84,429,361,226,102,13,777,28,109,2711
051003,Spandau Mitte,Spandau,2013,17976,254,117,2110,500,669,6782,117,763,695,222,82,20,1642,321,590,4503
052004,Brunsbuetteler Damm,Spandau,2013,7788,76,36,713,192,250,3901,129,562,259,250,36,9,945,245,89,1765
052005,Heerstrasse,Spandau,2013,10594,87,36,1321,363,545,4001,185,563,254,258,65,11,1223,160,105,3627
052006,Wilhelmstadt,Spandau,2013,17865,127,62,1315,319,606,7237,118,659,541,260,56,21,1507,307,340,3471
053007,Haselhorst,Spandau,2013,14207,138,55,1028,262,400,7255,193,1117,400,366,76,21,1483,145,172,3621
053008,Siemensstadt,Spandau,2013,13297,150,92,1259,275,509,6111,208,1201,659,250,50,25,1142,208,100,3351
054009,Gatow/Kladow,Spandau,2013,5049,16,5,349,82,153,2337,54,550,103,436,49,22,632,93,16,812
060000,Steglitz-Zehlendorf,Steglitz-Zehlendorf-Total,2013,9065,97,41,602,114,294,4771,184,1105,540,424,43,13,856,217,143,1691
061001,Schlossstrasse,Steglitz-Zehlendorf,2013,21293,287,130,880,148,310,13058,125,875,782,495,56,23,1046,347,157,2555
061002,Albrechtstrasse,Steglitz-Zehlendorf,2013,6137,98,39,475,102,264,3048,210,764,444,313,31,12,594,112,108,1603
062003,Lankwitz,Steglitz-Zehlendorf,2013,7187,74,31,702,144,319,3049,137,728,287,328,57,14,814,141,194,1791
062004,Ostpreussendamm,Steglitz-Zehlendorf,2013,7348,46,29,649,137,252,3578,163,943,517,254,34,17,726,191,154,1466
063005,Teltower Damm,Steglitz-Zehlendorf,2013,7616,91,36,456,88,274,4135,170,1085,803,450,49,12,787,176,112,1383
063006,Drakestrasse,Steglitz-Zehlendorf,2013,7234,62,13,406,69,215,4052,180,1031,468,356,37,17,578,69,99,1293
064007,Zehlendorf Suedwest,Steglitz-Zehlendorf,2013,9412,70,31,627,125,288,5022,187,1613,499,604,23,8,1036,413,113,1558
064008,Zehlendorf Nord,Steglitz-Zehlendorf,2013,8960,53,17,463,96,250,5073,202,1580,519,699,34,5,888,312,91,1335
070000,Tempelhof-Schoeneberg,Tempelhof-Schoeneberg-Total,2013,12485,182,87,1008,245,388,5660,154,988,659,310,70,20,1052,204,341,2554
071001,Schoeneberg Nordwest,Tempelhof-Schoeneberg,2013,25164,667,354,2021,646,589,12471,161,1136,733,564,132,41,1433,206,807,4842
071002,Schoeneberg Nordost,Tempelhof-Schoeneberg,2013,11920,237,83,964,285,346,5213,193,880,1135,421,74,39,1244,359,372,2861
072003,Schoeneberg Suedwest,Tempelhof-Schoeneberg,2013,9403,156,85,798,216,286,4697,90,748,1144,366,40,15,823,140,236,2313
072004,Schoeneberg Suedost,Tempelhof-Schoeneberg,2013,16173,171,89,1347,373,398,6757,121,668,1347,316,50,21,1194,327,444,3171
073005,Friedenau West,Tempelhof-Schoeneberg,2013,12226,98,34,494,72,213,8068,132,855,1089,234,43,17,672,209,128,1366
073006,Friedenau Ost,Tempelhof-Schoeneberg,2013,9178,138,38,620,114,229,4239,224,911,672,167,76,14,882,238,148,1678
074007,Tempelhof Nord,Tempelhof-Schoeneberg,2013,13603,121,42,916,205,374,4460,90,898,844,187,84,18,1193,229,886,2381
074008,Tempelhof Suedwest,Tempelhof-Schoeneberg,2013,11996,154,57,975,221,345,5077,154,1048,445,244,64,20,938,174,188,2301
074009,Tempelhof Suedost,Tempelhof-Schoeneberg,2013,19083,132,59,1298,352,814,8713,323,1944,528,301,66,29,1269,169,198,3506
075010,Mariendorf Nord,Tempelhof-Schoeneberg,2013,8016,107,53,782,150,364,3338,197,852,244,281,47,17,926,164,217,2245
075011,Mariendorf Sued,Tempelhof-Schoeneberg,2013,8919,104,59,797,213,277,3937,134,1119,292,302,45,0,872,50,158,2006
076012,Marienfelde Nord,Tempelhof-Schoeneberg,2013,7593,93,41,753,169,303,3455,123,858,268,263,64,6,619,64,123,1763
076013,Marienfelde Sued,Tempelhof-Schoeneberg,2013,9950,44,22,808,200,400,5116,74,623,215,171,67,15,771,89,171,2269
076014,Lichtenrade Nord,Tempelhof-Schoeneberg,2013,5007,24,10,586,127,210,2181,107,761,93,478,54,24,527,20,102,1313
076015,Lichtenrade Sued,Tempelhof-Schoeneberg,2013,6691,69,27,652,124,292,2659,96,776,261,278,48,17,786,206,134,1469
080000,Neukoelln,Neukoelln-Total,2013,13989,235,128,1273,372,468,6098,174,1040,486,363,78,32,1346,206,510,3280
081001,Schillerpromenade,Neukoelln,2013,18445,414,231,2043,689,626,6691,117,863,613,443,98,38,1689,389,2663,4946
081002,Neukoellner Mitte/Zentrum,Neukoelln,2013,24157,331,169,2113,601,633,11377,146,1080,580,463,103,50,1612,320,495,5205
