key,neighborhood,district,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence
034006,Schönholz/Wilhelmsruh/Rosenthal,Pankow,2013," 5,792 ", 76 , 41 , 325 , 76 , 209 ," 3,370 ", 76 , 720 , 720 , 389 , 29 , 12 , 401 , 76 , 58 ," 1,075 "
034007,Pankow Zentrum,Pankow,2013," 10,355 ", 102 , 30 , 612 , 126 , 264 ," 6,086 ", 123 , 667 ," 1,627 ", 306 , 30 , 15 , 910 , 201 , 69 ," 2,162 "
034008,Pankow Süd,Pankow,2013," 7,109 ", 46 , 25 , 704 , 166 , 261 ," 3,576 ", 148 , 566 ," 1,193 ", 181 , 40 , 15 , 655 , 98 , 83 ," 1,817 "
035009,Weißensee,Pankow,2013," 9,185 ", 77 , 21 , 746 , 151 , 347 ," 4,683 ", 178 , 619 , 714 , 187 , 68 , 44 ," 1,197 ", 284 , 110 ," 2,728 "
035010,Weißensee Ost,Pankow,2013," 8,980 ", 73 , 53 , 917 , 159 , 292 ," 3,985 ", 133 , 910 , 399 , 173 , 186 , 146 , 830 , 120 , 199 ," 2,112 "
036011,Prenzlauer Berg Nordwest,Pankow,2013," 12,230 ", 176 , 103 , 775 , 242 , 217 ," 6,778 ", 357 , 706 ," 1,608 ", 267 , 41 , 29 ," 1,272 ", 299 , 197 ," 2,613 "
036012,Prenzlauer Berg Nord,Pankow,2013," 12,053 ", 80 , 23 , 780 , 164 , 225 ," 7,192 ", 329 , 783 ," 1,712 ", 199 , 46 , 11 , 902 , 214 , 195 ," 2,224 "
036013,Helmholtzplatz,Pankow,2013," 9,633 ", 64 , 18 , 621 , 180 , 193 ," 5,795 ", 262 , 414 ," 1,270 ", 414 , 46 , 9 ," 1,031 ", 308 , 78 ," 2,596 "
036014,Prenzlauer Berg Ost,Pankow,2013," 16,937 ", 165 , 77 , 999 , 242 , 262 ," 8,633 ", 169 ," 1,128 "," 1,285 ", 173 , 68 , 24 ," 1,922 ", 951 , 250 ," 2,397 "
037015,Prenzlauer Berg Südwest,Pankow,2013," 14,515 ", 109 , 40 ," 1,253 ", 334 , 206 ," 8,640 ", 347 , 850 ," 1,366 ", 475 , 60 , 36 ," 1,555 ", 524 , 169 ," 3,510 "
037016,Prenzlauer Berg Süd,Pankow,2013," 9,243 ", 45 , 19 , 474 , 96 , 234 ," 4,999 ", 381 , 708 ," 1,249 ", 279 , 54 , 19 , 977 , 208 , 144 ," 2,117 "
040000,Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf-Total,2013," 16,061 ", 199 , 80 ," 1,246 ", 327 , 470 ," 8,021 ", 224 ," 1,461 ", 927 , 518 , 46 , 20 ," 1,172 ", 277 , 368 ," 3,140 "
