key,neighborhood,neighborhood_original,Prognoseraum (Name),district,district_original,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
034006,Schoenholz/Wilhelmsruh/Rosenthal,Schönholz/Wilhelmsruh/Rosenthal,Südliches Pankow,Pankow,Pankow,2013,997,13,7,56,13,36,580,13,124,124,67,5,2,69,13,10,185,,,,,,,,,,,,,,,,,,,
034007,Pankow Zentrum,Pankow Zentrum,Südliches Pankow,Pankow,Pankow,2013,3449,34,10,204,42,88,2027,41,222,542,102,10,5,303,67,23,720,,,,,,,,,,,,,,,,,,,
034008,Pankow Sued,Pankow Süd,Südliches Pankow,Pankow,Pankow,2013,2312,15,8,229,54,85,1163,48,184,388,59,13,5,213,32,27,591,,,,,,,,,,,,,,,,,,,
035009,Weissensee,Weißensee,Südliches Weißensee,Pankow,Pankow,2013,3101,26,7,252,51,117,1581,60,209,241,63,23,15,404,96,37,921,,,,,,,,,,,,,,,,,,,
035010,Weissensee Ost,Weißensee Ost,Südliches Weißensee,Pankow,Pankow,2013,1352,11,8,138,24,44,600,20,137,60,26,28,22,125,18,30,318,,,,,,,,,,,,,,,,,,,
036011,Prenzlauer Berg Nordwest,Prenzlauer Berg Nordwest,Nördlicher Prenzlauer Berg,Pankow,Pankow,2013,2981,43,25,189,59,53,1652,87,172,392,65,10,7,310,73,48,637,,,,,,,,,,,,,,,,,,,
036012,Prenzlauer Berg Nord,Prenzlauer Berg Nord,Nördlicher Prenzlauer Berg,Pankow,Pankow,2013,3154,21,6,204,43,59,1882,86,205,448,52,12,3,236,56,51,582,,,,,,,,,,,,,,,,,,,
036013,Helmholtzplatz,Helmholtzplatz,Nördlicher Prenzlauer Berg,Pankow,Pankow,2013,2093,14,4,135,39,42,1259,57,90,276,90,10,2,224,67,17,564,,,,,,,,,,,,,,,,,,,
036014,Prenzlauer Berg Ost,Prenzlauer Berg Ost,Nördlicher Prenzlauer Berg,Pankow,Pankow,2013,4204,41,19,248,60,65,2143,42,280,319,43,17,6,477,236,62,595,,,,,,,,,,,,,,,,,,,
037015,Prenzlauer Berg Suedwest,Prenzlauer Berg Südwest,Südlicher Prenzlauer Berg,Pankow,Pankow,2013,3602,27,10,311,83,51,2144,86,211,339,118,15,9,386,130,42,871,,,,,,,,,,,,,,,,,,,
