key,neighborhood,neighborhood_original,Prognoseraum (Name),district,district_original,year,crimes_total,robbery,street_handbag_roberry,physical_injuries_total,dangerous_serious_bodily_harm,dep_of_liberty_coercion_threats_stalking,theft_total,theft_of_motor_vehicles,theft_parts_motor_vehicles,bike_theft,res_burglarly,arson_offense_total,arson,prop_damage_total,prop_damage_graffiti,drugs,neighborhood_offence,,,,,,,,,,,,,,,,,,,
063006,Drakestrasse,Drakestraße,Zehlendorf Süd/Lichterfelde West,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2015,3623,18,10,203,28,100,1917,91,410,267,199,10,3,261,50,41,560,,,,,,,,,,,,,,,,,,,
064007,Zehlendorf Suedwest,Zehlendorf Südwest,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2015,2311,15,7,135,29,61,1186,46,221,195,136,6,1,313,109,17,340,,,,,,,,,,,,,,,,,,,
064008,Zehlendorf Nord,Zehlendorf Nord,Zehlendorf Nord/Wannsee,Steglitz-Zehlendorf,Steglitz-Zehlendorf,2015,3950,25,13,193,41,94,2517,90,575,454,345,15,6,453,154,38,724,,,,,,,,,,,,,,,,,,,
070000,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,Tempelhof-Schoeneberg,Tempelhof-Schoeneberg-Total,Tempelhof-Schöneberg-Total,2015,41545,425,247,3119,709,1186,20377,577,2967,2917,1044,171,58,3409,702,900,7933,,,,,,,,,,,,,,,,,,,
071001,Schoeneberg Nordwest,Schöneberg Nordwest,Schöneberg Nord,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,6912,122,76,571,161,138,3650,24,266,309,116,13,5,383,76,205,1376,,,,,,,,,,,,,,,,,,,
071002,Schoeneberg Nordost,Schöneberg Nordost,Schöneberg Nord,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,3074,37,24,247,66,93,1520,43,239,326,111,13,6,282,75,58,684,,,,,,,,,,,,,,,,,,,
072003,Schoeneberg Suedwest,Schöneberg Südwest,Schöneberg Süd,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,2124,16,12,189,45,57,1081,27,156,275,53,1,0,151,22,79,476,,,,,,,,,,,,,,,,,,,
072004,Schoeneberg Suedost,Schöneberg Südost,Schöneberg Süd,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,5734,41,15,374,92,104,2551,29,254,451,104,10,5,417,109,99,913,,,,,,,,,,,,,,,,,,,
073005,Friedenau West,Friedenau West,Friedenau,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,2570,19,12,109,11,62,1605,31,167,361,48,5,2,183,76,26,336,,,,,,,,,,,,,,,,,,,
073006,Friedenau Ost,Friedenau Ost,Friedenau,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,1885,17,10,121,21,52,1014,45,200,184,51,5,3,159,32,17,350,,,,,,,,,,,,,,,,,,,
074007,Tempelhof Nord,Tempelhof Nord,Tempelhof,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,2518,10,7,172,42,73,828,26,158,156,35,17,5,244,36,151,460,,,,,,,,,,,,,,,,,,,
074008,Tempelhof Suedwest,Tempelhof Südwest,Tempelhof,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,3972,24,7,320,68,120,1758,54,301,209,57,28,5,366,94,27,732,,,,,,,,,,,,,,,,,,,
074009,Tempelhof Suedost,Tempelhof Südost,Tempelhof,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,3142,17,7,186,40,86,1311,49,247,74,34,11,1,212,28,33,452,,,,,,,,,,,,,,,,,,,
075010,Mariendorf Nord,Mariendorf Nord,Mariendorf,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,2359,22,12,179,46,56,1255,45,244,88,56,12,6,209,32,32,453,,,,,,,,,,,,,,,,,,,
075011,Mariendorf Sued,Mariendorf Süd,Mariendorf,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,1716,16,9,114,25,44,833,38,181,85,62,10,5,161,8,37,314,,,,,,,,,,,,,,,,,,,
076012,Marienfelde Nord,Marienfelde Nord,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,1217,9,6,122,27,48,548,14,116,79,67,7,1,126,19,16,258,,,,,,,,,,,,,,,,,,,
076013,Marienfelde Sued,Marienfelde Süd,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,1248,8,3,101,19,46,605,15,71,40,23,11,4,130,9,26,283,,,,,,,,,,,,,,,,,,,
076014,Lichtenrade Nord,Lichtenrade Nord,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,1105,8,5,110,18,54,474,40,98,33,131,6,2,114,14,11,262,,,,,,,,,,,,,,,,,,,
076015,Lichtenrade Sued,Lichtenrade Süd,Marienfelde / Lichtenrade,Tempelhof-Schoeneberg,Tempelhof-Schöneberg,2015,1969,22,13,177,28,102,761,80,125,112,96,22,7,272,72,49,440,,,,,,,,,,,,,,,,,,,
080000,Neukoelln,Neukölln,Neukoelln,Neukoelln-Total,Neukölln-Total,2015,47014,582,326,3762,1018,1367,21690,541,3226,2383,1182,253,108,4161,670,1683,9854,,,,,,,,,,,,,,,,,,,
081001,Schillerpromenade,Schillerpromenade,Neukölln,Neukoelln,Neukölln,2015,5444,91,52,450,134,142,2232,30,349,252,101,25,10,497,120,803,1136,,,,,,,,,,,,,,,,,,,
081002,Neukoellner Mitte/Zentrum,Neuköllner Mitte/Zentrum,Neukölln,Neukoelln,Neukölln,2015,10325,92,42,780,247,220,4805,56,413,341,157,30,11,685,123,202,1760,,,,,,,,,,,,,,,,,,,
081003,Reuterstrasse,Reuterstraße,Neukölln,Neukoelln,Neukölln,2015,7075,106,50,465,132,149,3332,30,259,540,159,27,13,504,123,192,1298,,,,,,,,,,,,,,,,,,,
081004,Rixdorf,Rixdorf,Neukölln,Neukoelln,Neukölln,2015,5623,77,45,498,145,182,2732,51,344,453,199,26,13,534,83,182,1497,,,,,,,,,,,,,,,,,,,
081005,Koellnische Heide,Köllnische Heide,Neukölln,Neukoelln,Neukölln,2015,2710,32,17,242,57,97,1209,46,315,58,42,19,10,410,51,54,628,,,,,,,,,,,,,,,,,,,
082006,Britz Nord,Britz Nord,Britz/Buckow,Neukoelln,Neukölln,2015,2629,27,15,227,62,109,1088,36,283,81,55,15,9,171,20,43,580,,,,,,,,,,,,,,,,,,,
082007,Britz,Britz,Britz/Buckow,Neukoelln,Neukölln,2015,2877,27,12,201,44,67,1241,35,258,151,83,13,7,220,38,73,473,,,,,,,,,,,,,,,,,,,
082008,Buckow,Buckow,Britz/Buckow,Neukoelln,Neukölln,2015,1694,11,5,173,36,85,746,55,215,62,108,15,10,172,25,14,442,,,,,,,,,,,,,,,,,,,
083009,Gropiusstadt West,Gropiusstadt West,Gropiusstadt,Neukoelln,Neukölln,2015,2997,29,19,209,47,74,1384,26,125,102,34,27,4,485,36,20,618,,,,,,,,,,,,,,,,,,,
083010,Gropiusstadt Ost,Gropiusstadt Ost,Gropiusstadt,Neukoelln,Neukölln,2015,1292,17,15,160,44,62,592,32,88,84,25,13,5,113,8,11,488,,,,,,,,,,,,,,,,,,,
084011,Buckow Nord,Buckow Nord,Buckow Nord/Rudow,Neukoelln,Neukölln,2015,965,11,5,94,15,32,430,15,77,36,37,6,5,49,1,11,196,,,,,,,,,,,,,,,,,,,
084012,Rudow,Rudow,Buckow Nord/Rudow,Neukoelln,Neukölln,2015,2898,28,20,216,43,112,1328,99,349,165,182,29,11,311,42,36,601,,,,,,,,,,,,,,,,,,,
090000,Treptow-Koepenick,Treptow-Köpenick,Treptow-Koepenick,Treptow-Koepenick-Total,Treptow-Köpenick-Total,2015,24129,197,98,1864,437,730,11706,460,1760,2079,709,155,70,2468,595,517,4798,,,,,,,,,,,,,,,,,,,
091001,Alt-Treptow,Alt-Treptow,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2015,2287,53,35,154,51,50,1273,29,87,286,39,5,4,191,62,140,461,,,,,,,,,,,,,,,,,,,
091002,Plaenterwald,Plänterwald,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2015,1894,6,3,61,7,39,689,52,135,60,24,5,1,128,27,7,280,,,,,,,,,,,,,,,,,,,
091003,Baumschulenweg,Baumschulenweg,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2015,1617,14,5,122,20,47,908,43,155,111,74,7,2,154,32,25,348,,,,,,,,,,,,,,,,,,,
091004,Johannisthal,Johannisthal,Treptow-Köpenick 1,Treptow-Koepenick,Treptow-Köpenick,2015,1275,11,4,96,18,44,604,29,99,76,61,11,7,102,15,21,253,,,,,,,,,,,,,,,,,,,
092005,Oberschoeneweide,Oberschöneweide,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2015,2197,16,6,271,80,92,973,46,166,114,39,17,4,269,46,54,608,,,,,,,,,,,,,,,,,,,
092006,Niederschoeneweide,Niederschöneweide,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2015,1896,10,5,118,23,39,932,17,66,123,20,12,6,207,107,39,257,,,,,,,,,,,,,,,,,,,
092007,Adlershof,Adlershof,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2015,1933,21,7,125,24,46,1081,28,127,169,24,12,6,169,36,25,287,,,,,,,,,,,,,,,,,,,
092008,Koellnische Vorstadt/Spindlersfeld,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,Treptow-Koepenick,Treptow-Köpenick,2015,794,3,2,104,24,33,322,17,36,74,9,4,3,109,30,20,243,,,,,,,,,,,,,,,,,,,
093009,Altglienicke,Altglienicke,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2015,1266,7,4,112,28,53,679,54,125,88,102,7,2,132,16,16,327,,,,,,,,,,,,,,,,,,,
093010,Bohnsdorf,Bohnsdorf,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2015,840,9,2,43,13,31,436,17,90,38,89,4,1,77,8,21,119,,,,,,,,,,,,,,,,,,,
093011,Gruenau,Grünau,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2015,596,2,2,29,10,16,293,10,44,72,22,3,2,142,87,2,118,,,,,,,,,,,,,,,,,,,
093012,Schmoeckwitz,Schmöckwitz,Treptow-Köpenick 3,Treptow-Koepenick,Treptow-Köpenick,2015,241,0,0,21,5,6,128,4,25,9,38,2,2,29,2,1,46,,,,,,,,,,,,,,,,,,,
094013,Koepenick Sued,Köpenick Süd,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2015,527,0,0,36,7,17,252,21,50,55,13,16,1,66,1,5,109,,,,,,,,,,,,,,,,,,,
094014,Allende-Viertel,Allende-Viertel,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2015,880,5,3,123,23,34,381,21,59,69,6,4,4,77,3,15,213,,,,,,,,,,,,,,,,,,,
094015,Altstadt Koepenick,Altstadt Köpenick,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2015,607,0,0,81,17,33,218,5,36,55,4,10,7,79,7,14,170,,,,,,,,,,,,,,,,,,,
094016,Mueggelheim,Müggelheim,Treptow-Köpenick 4,Treptow-Koepenick,Treptow-Köpenick,2015,240,0,0,30,4,17,99,1,28,7,13,2,2,32,1,2,64,,,,,,,,,,,,,,,,,,,
095017,Friedrichshagen,Friedrichshagen,Treptow-Köpenick 5,Treptow-Koepenick,Treptow-Köpenick,2015,1168,7,2,57,12,29,693,26,110,253,22,9,4,143,34,4,194,,,,,,,,,,,,,,,,,,,
095018,Rahnsdorf,Rahnsdorf,Treptow-Köpenick 5,Treptow-Koepenick,Treptow-Köpenick,2015,606,1,0,44,12,16,326,7,67,102,52,6,3,71,15,5,81,,,,,,,,,,,,,,,,,,,
095019,Dammvorstadt,Dammvorstadt,Treptow-Köpenick 5,Treptow-Koepenick,Treptow-Köpenick,2015,2088,16,9,195,51,40,785,6,51,127,15,5,3,183,52,80,401,,,,,,,,,,,,,,,,,,,
095020,Koepenick Nord,Köpenick Nord,Treptow-Köpenick 5,Treptow-Koepenick,Treptow-Köpenick,2015,938,3,0,42,8,29,346,12,60,97,41,4,1,108,14,2,171,,,,,,,,,,,,,,,,,,,
100000,Marzahn-Hellersdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf-Total,Marzahn-Hellersdorf-Total,2015,23245,222,121,2841,534,875,9624,584,1941,995,684,186,44,2655,505,367,5720,,,,,,,,,,,,,,,,,,,
101001,Marzahn Nord,Marzahn Nord,Marzahn,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,1961,26,16,341,56,106,641,43,113,82,21,24,8,259,57,39,631,,,,,,,,,,,,,,,,,,,
101002,Marzahn Mitte,Marzahn Mitte,Marzahn,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,4894,50,26,670,133,180,1887,135,447,128,62,39,9,494,54,69,1255,,,,,,,,,,,,,,,,,,,
101003,Marzahn Sued,Marzahn Süd,Marzahn,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,3900,39,18,333,64,91,1774,126,383,87,112,25,6,379,59,44,722,,,,,,,,,,,,,,,,,,,
102004,Hellersdorf Nord,Hellersdorf Nord,Hellersdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,4085,33,16,606,106,200,1591,73,262,122,47,28,4,537,108,81,1257,,,,,,,,,,,,,,,,,,,
102005,Hellersdorf Ost,Hellersdorf Ost,Hellersdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,1678,14,8,236,42,83,574,32,127,76,14,12,3,269,54,45,507,,,,,,,,,,,,,,,,,,,
102006,Hellersdorf Sued,Hellersdorf Süd,Hellersdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,1856,22,14,246,36,79,626,41,124,70,32,32,3,205,51,33,506,,,,,,,,,,,,,,,,,,,
103007,Biesdorf,Biesdorf,Biesdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,2252,11,6,139,28,60,1312,46,220,180,169,10,2,199,48,25,310,,,,,,,,,,,,,,,,,,,
104008,Kaulsdorf,Kaulsdorf,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,1120,3,1,97,19,22,545,27,95,98,102,3,3,109,19,16,170,,,,,,,,,,,,,,,,,,,
104009,Mahlsdorf,Mahlsdorf,Kaulsdorf/Mahlsdorf,Marzahn-Hellersdorf,Marzahn-Hellersdorf,2015,1255,4,2,75,13,34,663,43,109,128,124,7,3,161,55,9,183,,,,,,,,,,,,,,,,,,,
110000,Lichtenberg,Lichtenberg,Lichtenberg,Lichtenberg-Total,Lichtenberg-Total,2015,25619,212,110,2351,502,645,12785,735,2133,1854,730,148,58,2542,568,387,5669,,,,,,,,,,,,,,,,,,,
111001,Malchow,Malchow,Malchow,Lichtenberg,Lichtenberg,2015,287,4,2,29,4,9,145,3,17,17,11,2,1,27,3,2,55,,,,,,,,,,,,,,,,,,,
111002,Neu-Hohenschoenhausen Nord,Neu-Hohenschönhausen Nord,Hohenschönhausen Nord,Lichtenberg,Lichtenberg,2015,1865,13,8,310,54,67,710,81,133,88,17,20,7,208,28,43,609,,,,,,,,,,,,,,,,,,,
111003,Neu-Hohenschoenhausen Sued,Neu-Hohenschönhausen Süd,Hohenschönhausen Nord,Lichtenberg,Lichtenberg,2015,1976,18,5,280,60,64,912,62,113,90,38,15,4,175,15,35,558,,,,,,,,,,,,,,,,,,,
112004,Alt-Hohenschoenhausen Nord,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,Lichtenberg,Lichtenberg,2015,1710,16,6,138,38,38,929,16,104,67,107,5,2,145,8,16,333,,,,,,,,,,,,,,,,,,,
112005,Alt-Hohenschoenhausen Sued,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,Lichtenberg,Lichtenberg,2015,2630,19,7,230,43,57,1494,124,325,191,102,11,4,235,39,20,674,,,,,,,,,,,,,,,,,,,
113006,Fennpfuhl,Fennpfuhl,Lichtenberg Nord,Lichtenberg,Lichtenberg,2015,2978,24,14,184,35,65,1450,103,326,224,90,12,5,326,80,36,584,,,,,,,,,,,,,,,,,,,
113007,Alt-Lichtenberg,Alt-Lichtenberg,Lichtenberg Nord,Lichtenberg,Lichtenberg,2015,4240,36,20,346,90,104,2096,72,324,247,96,25,13,370,110,37,820,,,,,,,,,,,,,,,,,,,
113008,Frankfurter Allee Sued,Frankfurter Allee Süd,Lichtenberg Nord,Lichtenberg,Lichtenberg,2015,1880,16,6,139,26,21,782,25,113,124,28,11,5,147,46,74,304,,,,,,,,,,,,,,,,,,,
114009,Neu-Lichtenberg,Neu-Lichtenberg,Lichtenberg Mitte,Lichtenberg,Lichtenberg,2015,3197,24,15,262,51,63,1674,62,201,299,63,14,6,376,112,50,681,,,,,,,,,,,,,,,,,,,
114010,Friedrichsfelde Nord,Friedrichsfelde Nord,Lichtenberg Mitte,Lichtenberg,Lichtenberg,2015,1324,10,3,148,36,27,603,51,106,61,52,7,1,123,33,14,306,,,,,,,,,,,,,,,,,,,
114011,Friedrichsfelde Sued,Friedrichsfelde Süd,Lichtenberg Mitte,Lichtenberg,Lichtenberg,2015,1567,8,6,134,28,51,712,43,104,109,50,9,4,210,51,11,342,,,,,,,,,,,,,,,,,,,
115012,Rummelsburger Bucht,Rummelsburger Bucht,Lichtenberg Süd,Lichtenberg,Lichtenberg,2015,417,2,2,39,15,8,230,10,27,40,16,1,0,51,17,12,90,,,,,,,,,,,,,,,,,,,
115013,Karlshorst,Karlshorst,Lichtenberg Süd,Lichtenberg,Lichtenberg,2015,1548,6,2,112,22,48,862,49,143,227,60,14,5,149,26,22,284,,,,,,,,,,,,,,,,,,,
120000,Reinickendorf,Reinickendorf,Reinickendorf,Reinickendorf-Total,Reinickendorf-Total,2015,30801,325,163,2891,653,1152,13835,372,2452,1232,823,131,50,2600,649,869,6959,,,,,,,,,,,,,,,,,,,
121001,Ost 1 - Reginhardstrasse,Ost 1 - Reginhardstraße,Reinickendorf Ost,Reinickendorf,Reinickendorf,2015,3231,39,17,427,99,148,1150,39,200,124,74,17,7,280,28,89,926,,,,,,,,,,,,,,,,,,,
121002,Ost 2 - Alt-Reinickendorf,Ost 2 - Alt-Reinickendorf,Reinickendorf Ost,Reinickendorf,Reinickendorf,2015,3498,42,24,305,68,119,1583,42,346,160,68,19,6,318,65,131,807,,,,,,,,,,,,,,,,,,,
122003,West 4 - Auguste-Viktoria-Allee,West 4 - Auguste-Viktoria-Allee,Tegel,Reinickendorf,Reinickendorf,2015,3408,29,13,372,88,135,1616,35,199,117,58,9,4,302,52,54,951,,,,,,,,,,,,,,,,,,,
122004,West 1 - Tegel-Sued/Flughafensee,West 1 - Tegel-Süd/Flughafensee,Tegel,Reinickendorf,Reinickendorf,2015,3885,12,5,199,42,105,864,28,180,36,47,8,3,130,13,216,447,,,,,,,,,,,,,,,,,,,
122005,West 5 - Tegel,West 5 - Tegel,Tegel,Reinickendorf,Reinickendorf,2015,2053,17,9,181,50,41,1051,3,54,115,27,3,0,161,53,54,408,,,,,,,,,,,,,,,,,,,
124006,West 2 - Heiligensee/Konradshoehe,West 2 - Heiligensee/Konradshöhe,Grüner Norden,Reinickendorf,Reinickendorf,2015,1328,5,1,92,19,44,570,25,154,83,112,7,4,190,47,25,209,,,,,,,,,,,,,,,,,,,
124007,Nord 1 - Frohnau/Hermsdorf,Nord 1 - Frohnau/Hermsdorf,Grüner Norden,Reinickendorf,Reinickendorf,2015,1893,27,14,120,23,56,1036,36,323,188,191,6,3,219,52,31,314,,,,,,,,,,,,,,,,,,,
125008,West 3 - Borsigwalde/Freie Scholle,West 3 - Borsigwalde/Freie Scholle,Wittenau/Borsigwalde,Reinickendorf,Reinickendorf,2015,1345,12,4,127,28,57,592,14,119,46,52,2,1,121,11,24,315,,,,,,,,,,,,,,,,,,,
125009,Nord 2 - Waidmannslust/Wittenau/Luebars,Nord 2 - Waidmannslust/Wittenau/Lübars,Wittenau/Borsigwalde,Reinickendorf,Reinickendorf,2015,4388,42,25,344,73,137,1592,43,282,152,122,18,8,316,118,75,704,,,,,,,,,,,,,,,,,,,
126010,Rollbergesiedlung,Rollbergesiedlung,Märkisches Viertel,Reinickendorf,Reinickendorf,2015,1185,22,7,111,21,55,414,15,81,25,29,3,3,255,191,16,225,,,,,,,,,,,,,,,,,,,
126011,MV Nord,MV Nord,Märkisches Viertel,Reinickendorf,Reinickendorf,2015,3366,42,24,371,97,134,1659,57,260,91,22,27,7,223,16,76,1109,,,,,,,,,,,,,,,,,,,
126012,MV Sued,MV Süd,Märkisches Viertel,Reinickendorf,Reinickendorf,2015,1020,23,9,138,37,68,393,15,105,31,20,8,2,85,3,20,344,,,,,,,,,,,,,,,,,,,
010000,Mitte,Mitte,Mitte,Mitte-Total,Mitte-total,2016,106006,976,611,7446,1936,2047,49285,533,4973,5038,1354,309,112,5598,1330,3350,16015,,,,,,,,,,,,,,,,,,,
011001,Tiergarten Sued,Tiergarten Süd,Zentrum,Mitte,Mitte,2016,5021,65,54,459,108,125,2489,15,282,232,64,12,2,265,35,164,898,,,,,,,,,,,,,,,,,,,
011002,Regierungsviertel,Regierungsviertel,Zentrum,Mitte,Mitte,2016,11488,91,64,564,107,134,6444,15,241,312,54,10,3,362,113,71,1003,,,,,,,,,,,,,,,,,,,
011003,Alexanderplatz,Alexanderplatz,Zentrum,Mitte,Mitte,2016,22803,163,101,1411,388,317,13194,79,767,1260,220,48,20,1076,328,532,2907,,,,,,,,,,,,,,,,,,,
011004,Brunnenstrasse Sued,Brunnenstraße Süd,Zentrum,Mitte,Mitte,2016,4799,33,22,252,52,81,2686,65,239,543,91,19,7,435,205,67,836,,,,,,,,,,,,,,,,,,,
012005,Moabit West,Moabit West,Moabit,Mitte,Mitte,2016,9335,103,57,725,225,189,3262,50,510,467,138,45,18,578,72,642,1628,,,,,,,,,,,,,,,,,,,
012006,Moabit Ost,Moabit Ost,Moabit,Mitte,Mitte,2016,19267,83,43,937,222,240,5513,38,486,525,147,45,12,531,84,445,1886,,,,,,,,,,,,,,,,,,,
013007,Osloer Strasse,Osloer Straße,Gesundbrunnen,Mitte,Mitte,2016,7947,85,49,756,184,216,3927,46,463,337,187,34,12,482,74,249,1551,,,,,,,,,,,,,,,,,,,
013008,Brunnenstrasse Nord,Brunnenstraße Nord,Gesundbrunnen,Mitte,Mitte,2016,7732,82,43,624,183,184,3737,72,443,348,141,34,7,582,169,229,1331,,,,,,,,,,,,,,,,,,,
014009,Parkviertel,Parkviertel,Wedding,Mitte,Mitte,2016,7230,64,32,686,172,223,3766,63,557,366,120,20,11,596,105,205,1715,,,,,,,,,,,,,,,,,,,
014010,Wedding Zentrum,Wedding Zentrum,Wedding,Mitte,Mitte,2016,10384,115,67,1032,284,295,4267,57,624,442,190,35,14,691,145,650,2123,,,,,,,,,,,,,,,,,,,
020000,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg-Total,Friedrichshain-Kreuzberg-total,2016,60354,947,574,4605,1453,1084,29984,475,3156,4646,775,294,116,5294,1448,4431,11368,,,,,,,,,,,,,,,,,,,
021001,Suedliche  Friedrichstadt,Südliche  Friedrichstadt,Kreuzberg Nord,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,11035,201,117,733,246,208,5342,66,773,591,136,44,11,691,128,763,1718,,,,,,,,,,,,,,,,,,,
022002,Tempelhofer Vorstadt,Tempelhofer Vorstadt,Kreuzberg Süd,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,10711,104,56,747,213,233,5790,130,707,1148,204,59,36,896,182,270,1890,,,,,,,,,,,,,,,,,,,
023003,Noerdliche Luisenstadt,Nördliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,6693,118,74,532,226,96,3193,23,259,341,60,26,8,512,158,598,971,,,,,,,,,,,,,,,,,,,
023004,Suedliche Luisenstadt,Südliche Luisenstadt,Kreuzberg Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,6016,144,94,461,166,98,2641,31,263,378,64,29,9,548,194,1089,992,,,,,,,,,,,,,,,,,,,
024005,Karl-Marx-Allee Nord,Karl-Marx-Allee Nord,Friedrichshain West,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,2896,30,15,227,53,60,1578,67,213,265,78,17,10,302,73,28,832,,,,,,,,,,,,,,,,,,,
024006,Karl-Marx-Allee Sued,Karl-Marx-Allee Süd,Friedrichshain West,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,7400,106,70,630,185,107,3896,47,238,413,61,15,4,498,146,412,1460,,,,,,,,,,,,,,,,,,,
025007,Frankfurter Allee Nord,Frankfurter Allee Nord,Friedrichshain Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,5073,30,12,322,91,99,2268,34,195,508,63,54,15,623,130,143,1074,,,,,,,,,,,,,,,,,,,
025008,Frankfurter Allee Sued FK,Frankfurter Allee Süd FK,Friedrichshain Ost,Friedrichshain-Kreuzberg,Friedrichshain-Kreuzberg,2016,10530,132,71,953,262,164,4964,56,307,808,108,50,23,1193,437,967,2340,,,,,,,,,,,,,,,,,,,
030000,Pankow,Pankow,Pankow,Pankow-Total,Pankow-Total,2016,43058,316,163,2834,628,1035,23824,720,2983,4835,1232,253,99,4296,1368,595,9371,,,,,,,,,,,,,,,,,,,
031001,Buch,Buch,Buch,Pankow,Pankow,2016,1878,11,5,187,43,78,968,26,144,107,51,28,13,219,43,26,406,,,,,,,,,,,,,,,,,,,
032002,Blankenfelde/Niederschoenhausen,Blankenfelde/Niederschönhausen,Nördliches Pankow,Pankow,Pankow,2016,1658,7,0,150,27,64,784,25,139,132,90,15,9,175,35,27,375,,,,,,,,,,,,,,,,,,,
032003,Buchholz,Buchholz,Nördliches Pankow,Pankow,Pankow,2016,893,1,0,43,5,41,461,28,96,38,53,3,1,100,32,8,142,,,,,,,,,,,,,,,,,,,
033004,Karow,Karow,Nördliches Weißensee,Pankow,Pankow,2016,836,5,2,74,13,23,389,9,74,88,72,13,5,86,20,12,143,,,,,,,,,,,,,,,,,,,
033005,Blankenburg/Heinersdorf/Maerchenland,Blankenburg/Heinersdorf/Märchenland,Nördliches Weißensee,Pankow,Pankow,2016,1476,4,3,65,17,35,823,19,111,101,76,14,5,114,31,6,159,,,,,,,,,,,,,,,,,,,
034006,Schoenholz/Wilhelmsruh/Rosenthal,Schönholz/Wilhelmsruh/Rosenthal,Südliches Pankow,Pankow,Pankow,2016,1023,8,3,72,14,28,520,16,110,75,64,7,5,94,20,8,190,,,,,,,,,,,,,,,,,,,
034007,Pankow Zentrum,Pankow Zentrum,Südliches Pankow,Pankow,Pankow,2016,3611,24,15,240,43,96,2115,49,208,523,106,15,7,317,118,36,718,,,,,,,,,,,,,,,,,,,
034008,Pankow Sued,Pankow Süd,Südliches Pankow,Pankow,Pankow,2016,3069,18,10,175,31,70,1448,42,238,388,60,15,5,332,84,39,671,,,,,,,,,,,,,,,,,,,
035009,Weissensee,Weißensee,Südliches Weißensee,Pankow,Pankow,2016,3722,33,22,330,72,124,1956,62,184,312,72,32,13,427,112,57,948,,,,,,,,,,,,,,,,,,,
035010,Weissensee Ost,Weißensee Ost,Südliches Weißensee,Pankow,Pankow,2016,1499,9,1,119,18,46,667,31,122,76,37,15,7,181,50,33,359,,,,,,,,,,,,,,,,,,,
