key,neighborhood,area,year,crime_category,crime_count,rank
24178,Alexanderplatz,Zentrum,2018,neighborhood_offence,2798,2.0
3898,Alexanderplatz,Zentrum,2018,physical_injuries_total,1529,3.0
8733,Alexanderplatz,Zentrum,2019,theft_total,10445,1.0
24333,Alexanderplatz,Zentrum,2019,neighborhood_offence,3602,2.0
4053,Alexanderplatz,Zentrum,2019,physical_injuries_total,1831,3.0
8888,Alexanderplatz,Zentrum,2020,theft_total,8721,1.0
24488,Alexanderplatz,Zentrum,2020,neighborhood_offence,3463,2.0
4208,Alexanderplatz,Zentrum,2020,physical_injuries_total,1617,3.0
9043,Alexanderplatz,Zentrum,2021,theft_total,6376,1.0
24643,Alexanderplatz,Zentrum,2021,neighborhood_offence,3222,2.0
4363,Alexanderplatz,Zentrum,2021,physical_injuries_total,1414,3.0
9198,Alexanderplatz,Zentrum,2022,theft_total,9041,1.0
24798,Alexanderplatz,Zentrum,2022,neighborhood_offence,3803,2.0
4518,Alexanderplatz,Zentrum,2022,physical_injuries_total,1827,3.0
7911,Allende-Viertel,Treptow-Köpenick 4,2013,theft_total,338,1.0
23511,Allende-Viertel,Treptow-Köpenick 4,2013,neighborhood_offence,153,2.0
12591,Allende-Viertel,Treptow-Köpenick 4,2013,bike_theft,80,3.0
8066,Allende-Viertel,Treptow-Köpenick 4,2014,theft_total,387,1.0
23666,Allende-Viertel,Treptow-Köpenick 4,2014,neighborhood_offence,205,2.0
18986,Allende-Viertel,Treptow-Köpenick 4,2014,prop_damage_total,106,3.0
8221,Allende-Viertel,Treptow-Köpenick 4,2015,theft_total,381,1.0
23821,Allende-Viertel,Treptow-Köpenick 4,2015,neighborhood_offence,213,2.0
3541,Allende-Viertel,Treptow-Köpenick 4,2015,physical_injuries_total,123,3.0
8376,Allende-Viertel,Treptow-Köpenick 4,2016,theft_total,395,1.0
23976,Allende-Viertel,Treptow-Köpenick 4,2016,neighborhood_offence,157,2.0
3696,Allende-Viertel,Treptow-Köpenick 4,2016,physical_injuries_total,82,3.0
8531,Allende-Viertel,Treptow-Köpenick 4,2017,theft_total,299,1.0
24131,Allende-Viertel,Treptow-Köpenick 4,2017,neighborhood_offence,165,2.0
19451,Allende-Viertel,Treptow-Köpenick 4,2017,prop_damage_total,110,3.0
8686,Allende-Viertel,Treptow-Köpenick 4,2018,theft_total,333,1.0
24286,Allende-Viertel,Treptow-Köpenick 4,2018,neighborhood_offence,181,2.0
19606,Allende-Viertel,Treptow-Köpenick 4,2018,prop_damage_total,93,3.0
8841,Allende-Viertel,Treptow-Köpenick 4,2019,theft_total,343,1.0
24441,Allende-Viertel,Treptow-Köpenick 4,2019,neighborhood_offence,172,2.0
19761,Allende-Viertel,Treptow-Köpenick 4,2019,prop_damage_total,95,3.0
8996,Allende-Viertel,Treptow-Köpenick 4,2020,theft_total,306,1.0
24596,Allende-Viertel,Treptow-Köpenick 4,2020,neighborhood_offence,137,2.0
19916,Allende-Viertel,Treptow-Köpenick 4,2020,prop_damage_total,81,3.0
9151,Allende-Viertel,Treptow-Köpenick 4,2021,theft_total,373,1.0
24751,Allende-Viertel,Treptow-Köpenick 4,2021,neighborhood_offence,218,2.0
20071,Allende-Viertel,Treptow-Köpenick 4,2021,prop_damage_total,118,3.0
9306,Allende-Viertel,Treptow-Köpenick 4,2022,theft_total,394,1.0
24906,Allende-Viertel,Treptow-Köpenick 4,2022,neighborhood_offence,178,2.0
20226,Allende-Viertel,Treptow-Köpenick 4,2022,prop_damage_total,81,3.0
7932,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2013,theft_total,832,1.0
23532,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2013,neighborhood_offence,319,2.0
18852,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2013,prop_damage_total,187,3.0
8087,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2014,theft_total,713,1.0
23687,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2014,neighborhood_offence,242,2.0
3407,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2014,physical_injuries_total,120,3.0
8242,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2015,theft_total,929,1.0
23842,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2015,neighborhood_offence,333,2.0
19162,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2015,prop_damage_total,145,3.0
8397,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2016,theft_total,911,1.0
23997,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2016,neighborhood_offence,350,2.0
3717,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2016,physical_injuries_total,171,3.0
8552,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2017,theft_total,743,1.0
24152,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2017,neighborhood_offence,327,2.0
3872,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2017,physical_injuries_total,171,3.0
8707,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2018,theft_total,692,1.0
24307,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2018,neighborhood_offence,367,2.0
4027,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2018,physical_injuries_total,208,3.0
8862,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2019,theft_total,878,1.0
24462,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2019,neighborhood_offence,460,2.0
4182,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2019,physical_injuries_total,191,3.0
9017,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2020,theft_total,911,1.0
24617,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2020,neighborhood_offence,375,2.0
12137,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2020,theft_parts_motor_vehicles,188,3.0
9172,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2021,theft_total,763,1.0
24772,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2021,neighborhood_offence,448,2.0
4492,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2021,physical_injuries_total,213,3.0
9327,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2022,theft_total,865,1.0
24927,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2022,neighborhood_offence,493,2.0
4647,Alt-Hohenschönhausen Nord,Hohenschönhausen Süd,2022,physical_injuries_total,203,3.0
7933,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2013,theft_total,1326,1.0
23533,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2013,neighborhood_offence,699,2.0
18853,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2013,prop_damage_total,294,3.0
8088,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2014,theft_total,1230,1.0
23688,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2014,neighborhood_offence,645,2.0
11208,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2014,theft_parts_motor_vehicles,312,3.0
8243,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2015,theft_total,1494,1.0
23843,Alt-Hohenschönhausen Süd,Hohenschönhausen Süd,2015,neighborhood_offence,674,2.0
